country,field,disclosed_investment,estimated_investment
United Arab Emirates,"Military, public safety and government",0,1
United Arab Emirates,Privacy and Security,0,1
Argentina,Transportation,0,0
Argentina,NLP,0,471
Argentina,Telecommunications,0,470
Armenia,Biotechnology,0,2
Armenia,Hardware,0,0
Armenia,"Sales, retail, commerce, marketing",0,0
Armenia,Agriculture,0,0
Armenia,Consumer goods,0,0
Belgium,Simulation,0,1
Bangladesh,Other,0,0
Bangladesh,Privacy and Security,0,0
Bangladesh,Cyber Security,0,0
Bulgaria,Manufacturing,0,0
Bulgaria,Lending and Investments,0,0
Bahrain,Privacy and Security,0,0
Bahrain,Information Technology,0,0
Bahrain,Biotechnology,0,0
Bahrain,Cyber Security,0,0
Bahrain,Professional services,0,120
Bahrain,Facial Recognition,0,0
Bosnia and Herzegovina,Manufacturing,0,0
Bosnia and Herzegovina,Agriculture,0,0
Bosnia and Herzegovina,Hardware,0,0
Belarus,"Mobile, platforms & Internet services",0,4
Belarus,Navigation and mapping,0,4
Belarus,Other,0,0
Belarus,Information Technology,0,2
Barbados,Data and analytics,0,18
Barbados,Software,0,18
Barbados,All,0,18
Switzerland,Facial Recognition,0,368
Chile,Sports,0,0
Costa Rica,"Sales, retail, commerce, marketing",0,0
Costa Rica,"Mobile, platforms & Internet services",0,0
Cyprus,Telecommunications,0,1
Denmark,Lending and Investments,0,20
Dominican Republic,Transportation,0,0
Ecuador,Finance,0,1
Ecuador,"Sales, retail, commerce, marketing",0,1
Estonia,NLP,0,5
Ethiopia,Software,0,0
Ethiopia,Community and Lifestyle,0,0
Ethiopia,Healthcare and Life Sciences,0,0
Ethiopia,Data and analytics,0,0
Ethiopia,General purpose,0,0
Ethiopia,All,0,0
Finland,Community and Lifestyle,0,0
Georgia,Healthcare and Life Sciences,0,5
Guernsey,All,0,0
Guernsey,Energy and natural resources,0,0
Greece,Cyber Security,0,373
Greece,Biotechnology,0,0
Greece,Real estate,0,0
Greece,Robotics,0,0
Greece,Manufacturing,0,0
Greece,NLP,0,3
Greece,Finance,0,50
Guatemala,Finance,0,5
Guatemala,Lending and Investments,0,5
Guatemala,"Mobile, platforms & Internet services",0,5
Guatemala,All,0,5
Croatia,Media and Entertainment,0,307
Indonesia,Healthcare and Life Sciences,0,14
Indonesia,Robotics,0,220
Indonesia,Real estate,0,14
Ireland,Facial Recognition,0,20
